Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
42,"Guelton, P Brunet, M Amini",Compiling Python modules to native parallel modules using Pythran and OpenMP annotations,6,2013, researchgate.net, Python for High Performance and …,https://www.researchgate.net/profile/Mehdi-Amini-4/publication/281878864_Compiling_python_modules_to_native_parallel_modules_using_Pythran_and_OpenMP_annotations/links/5c59c7a745851582c3cffcc1/Compiling-python-modules-to-native-parallel-modules-using-Pythran-and-OpenMP-annotations.pdf,0
50,"Fulton, C Omar, J Aldrich",Statically typed string sanitation inside a Python,6,2014, dl.acm.org, … of the 2014 International Workshop on …,https://dl.acm.org/doi/abs/10.1145/2687148.2687152,1
47,"Luo, W Ma, Y Li, Z Chen, L Chen",Recognizing potential runtime types from python docstrings,5,2018, Springer, Software Analysis  Testing  and …,https://link.springer.com/chapter/10.1007/978-3-030-04272-1_5,1
14,"Sun, Y Zhao, D Hao, L Zhang",Static type recommendation for Python,5,2022, dl.acm.org, Proceedings of the 37th IEEE/ACM …,https://dl.acm.org/doi/abs/10.1145/3551349.3561150,2
43,"Jin, S Xu, D Chen, J He, D Zhong, M Fan…",PyAnalyzer: An Effective and Practical Approach for Dependency Extraction from Python Code,4,2024, dl.acm.org, Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/3597503.3640325,4
11,"Ivanov, V Romanov, G Succi",Predicting type annotations for python using embeddings from graph neural networks,4,2021, cris.unibo.it, Proceedings of the 23rd …,https://cris.unibo.it/handle/11585/892503,1
44,Monat,Static Analysis by Abstract Interpretation Collecting Types of Python Programs,3,2018, hal.science,,https://hal.science/hal-01869049/,0
71,"Xia, Y Yan, X He, D Wu, L Xu, B Xu",An empirical study on the impact of python dynamic typing on the project maintenance,3,2022, World Scientific, International Journal of …,https://www.worldscientific.com/doi/abs/10.1142/S0218194022500243,1
35,Viafore,Robust Python,3,2021, books.google.com,,https://books.google.com/books?hl=en&lr=&id=mu43EAAAQBAJ&oi=fnd&pg=PP1&dq=python+type+annotations&ots=CAu0rkvbQj&sig=mKBZ8qrIfbf3V7aGxigGmYrbBEc,1
3,"Guo, Z Chen, L Chen, W Xu, Y Li, Y Zhou…",Generating Python Type Annotations from Type Inference: How Far Are We?,3,2024, dl.acm.org, ACM Transactions on …,https://dl.acm.org/doi/abs/10.1145/3652153,3
15,"Dong, L Chen, Z Xu, B Yu",Static type analysis for python,2,2014, ieeexplore.ieee.org, 2014 11th Web Information …,https://ieeexplore.ieee.org/abstract/document/7057989/,0
39,"Monat, A Ouadjaout, A Miné",Static type analysis by abstract interpretation of python programs (artifact),2,2020, drops.dagstuhl.de,,https://drops.dagstuhl.de/entities/document/10.4230/DARTS.6.2.11,0
37,"Selzler, ADC Chan, JR Green",Tsea: An open source python-based annotation tool for time series data,2,2021, ieeexplore.ieee.org, 2021 IEEE International …,https://ieeexplore.ieee.org/abstract/document/9478712/,0
63," Siek, M Vitousek, A Kent, J Baker",Design and evaluation of gradual typing for Python,2,2014, wphomes.soic.indiana.edu,,https://wphomes.soic.indiana.edu/jsiek/files/2014/03/retic-python.pdf,0
67,van Rossum,Python Setup and Usage,2,2016, scicomp.ethz.ch,,https://scicomp.ethz.ch/public/manual/Python/3.10.4/using.pdf,0
10,"Abdelaziz, J Dolby, K Srinivas",Large scale generation of labeled type data for python,2,2022, arxiv.org, arXiv preprint arXiv:2201.12242,https://arxiv.org/abs/2201.12242,1
62, Bartley,Tyto: A Python Tool Enabling Better Annotation Practices for Synthetic Biology Data-Sharing,1,2022, ACS Publications, ACS Synthetic Biology,https://pubs.acs.org/doi/abs/10.1021/acssynbio.1c00450,0
19," Shivarpatna Venkatesh, S Sabu, J Wang…",TypeEvalPy: A Micro-benchmarking Framework for Python Type Inference Tools,1,2024, dl.acm.org, Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/3639478.3640033,1
30,"Sun, S Chen, M Wang, D Hao",What Types Are Needed for Typing Dynamic Objects? A Python-Based Empirical Study,1,2023, Springer, Asian Symposium on Programming …,https://link.springer.com/chapter/10.1007/978-981-99-8311-7_2,0
66,"Yasser, A Karam",GAD: a python script for dividing genome annotation files into feature-based files,1,2020, Springer, Interdisciplinary Sciences: Computational Life …,https://link.springer.com/article/10.1007/s12539-020-00378-4,0
89,TYS Chiba,Type-check Python Programs with a Union Type System,0,0, jssst.or.jp,,http://jssst.or.jp/files/user/taikai/2020/PPL/ppl3-1.pdf,0
87,COJ Aldrich,Statically Typed String Sanitation Inside a Python,0,0, academia.edu,,https://www.academia.edu/download/96825827/ft_gateway.pdf,0
17,"Lin, B Hua, Y Wang, Z Pan",Towards a Large-Scale Empirical Study of Python Static Type Annotations,0,2023, ieeexplore.ieee.org, 2023 IEEE International …,https://ieeexplore.ieee.org/abstract/document/10123628/,0
38,"Chen, L Chen, Y Yang, Q Feng, X Li…",Risky Dynamic Typing Related Practices in Python: An Empirical Study,0,2024, dl.acm.org, ACM Transactions on …,https://dl.acm.org/doi/abs/10.1145/3649593,0
45,"Xu, L Chen, C Su, Y Guo, Y Li…",How Well Static Type Checkers Work with Gradual Typing? A Case Study on Python,0,2023, ieeexplore.ieee.org, 2023 IEEE/ACM 31st …,https://ieeexplore.ieee.org/abstract/document/10173949/,0
97,"Severinski, T Cvija",Medical data annotation and json to dataset conversion using LabelMe and Python,0,2021, repository.riteh.uniri.hr,2021,https://repository.riteh.uniri.hr/en/islandora/object/riteh%3A3670/datastream/FILE0/view#page=35,0
98,Norton,Python News.,0,2019, usenix.org, login Usenix Mag.,https://www.usenix.org/system/files/login/articles/login_fall19_09_norton.pdf,0
54,TYS Chiba,Typecheck Python Programs and Find Semantic Idioms,0,0, jssst.or.jp,,http://jssst.or.jp/files/user/taikai/2021/papers/11-L.pdf,0
100, Yee,Predicting TypeScript Type Annotations and Definitions With Machine Learning,0,2024, search.proquest.com,,https://search.proquest.com/openview/8e81d846a3f38a219baf281581569f28/1?pq-origsite=gscholar&cbl=18750&diss=y,0
